"date","user_id","wellbeing","meditated","sleep_time","did_sport","steps","sweets","walk"
"2024-12-22","e0e084c5-2308-4080-b217-90d5875fa312",5,"false",10.5,"true",0,"",""
"2024-12-23","e0e084c5-2308-4080-b217-90d5875fa312",7,"false",11,"true",0,"",""
"2024-12-24","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",8.5,"false",8500,"",""
"2024-12-27","e0e084c5-2308-4080-b217-90d5875fa312",7,"true",8,"true",69,"true","false"
"2024-12-21","a41f22a9-1bab-4495-bc82-949f217439ab",6,"false",8.5,"false",11000,"",""
"2024-12-22","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",8,"true",7000,"",""
"2024-12-27","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",9,"false",8700,"true","true"
"2024-12-23","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",8,"false",17000,"",""
"2024-12-25","e0e084c5-2308-4080-b217-90d5875fa312",7,"false",8,"true",3,"true","false"
"2024-12-25","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",8,"false",14000,"true","true"
"2024-12-26","e0e084c5-2308-4080-b217-90d5875fa312",4,"true",7,"true",34,"true","false"
"2024-12-26","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",7,"false",9500,"true","true"
"2024-12-30","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",7.5,"false",6000,"true","true"
"2024-12-28","e0e084c5-2308-4080-b217-90d5875fa312",8,"false",8,"true",18,"true","true"
"2024-12-28","a41f22a9-1bab-4495-bc82-949f217439ab",7,"false",8,"false",11000,"true","true"
"2024-12-29","e0e084c5-2308-4080-b217-90d5875fa312",6,"true",8.5,"true",33,"true","false"
"2024-12-29","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",7.5,"true",2000,"true","false"
"2024-12-30","e0e084c5-2308-4080-b217-90d5875fa312",4,"false",7,"true",49,"true","true"
"2024-12-31","e0e084c5-2308-4080-b217-90d5875fa312",8,"false",10.5,"false",24,"true","true"
"2024-12-31","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",7.5,"false",23000,"true","true"
"2025-01-01","e0e084c5-2308-4080-b217-90d5875fa312",4,"true",6,"true",24,"true","false"
"2025-01-01","a41f22a9-1bab-4495-bc82-949f217439ab",5,"true",7.5,"false",1500,"true","false"
"2025-01-02","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",8,"false",7800,"false","true"
"2025-01-02","e0e084c5-2308-4080-b217-90d5875fa312",5,"true",7,"true",46,"true","false"
"2025-01-03","e0e084c5-2308-4080-b217-90d5875fa312",7,"true",9,"true",38,"true","false"
"2025-01-03","a41f22a9-1bab-4495-bc82-949f217439ab",6,"",9,"",5000,"",""
"2025-01-04","e0e084c5-2308-4080-b217-90d5875fa312",5,"false",9,"true",25,"true","false"
"2025-01-04","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",9,"false",7000,"true","true"
"2025-01-05","a41f22a9-1bab-4495-bc82-949f217439ab",8,"true",9,"false",8000,"true","true"
"2025-01-05","e0e084c5-2308-4080-b217-90d5875fa312",5,"",9,"",36,"",""
"2025-01-06","e0e084c5-2308-4080-b217-90d5875fa312",4,"false",7.5,"true",44,"true","false"
"2025-01-12","e0e084c5-2308-4080-b217-90d5875fa312",7,"true",9.5,"true",19,"true","true"
"2025-01-06","a41f22a9-1bab-4495-bc82-949f217439ab",8,"true",9,"false",10000,"true","true"
"2025-01-07","e0e084c5-2308-4080-b217-90d5875fa312",5,"false",8.5,"true",46,"true","true"
"2025-01-07","a41f22a9-1bab-4495-bc82-949f217439ab",6,"",9,"",4000,"",""
"2025-01-08","e0e084c5-2308-4080-b217-90d5875fa312",4,"true",8.5,"true",30,"true","false"
"2025-01-08","a41f22a9-1bab-4495-bc82-949f217439ab",6,"",8.5,"",8000,"true",""
"2025-01-09","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",8,"true",16000,"false","true"
"2025-01-09","e0e084c5-2308-4080-b217-90d5875fa312",6,"false",8,"true",23,"true","false"
"2025-01-10","e0e084c5-2308-4080-b217-90d5875fa312",7,"true",7.5,"",36,"",""
"2025-01-10","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",8,"true",7500,"true","true"
"2025-01-11","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",8,"true",8000,"false","true"
"2025-01-11","e0e084c5-2308-4080-b217-90d5875fa312",6,"true",7.5,"true",26,"true","true"
"2025-01-13","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",8,"true",6000,"false","true"
"2025-01-12","a41f22a9-1bab-4495-bc82-949f217439ab",6,"true",7.5,"true",7600,"true","true"
"2025-01-13","e0e084c5-2308-4080-b217-90d5875fa312",4,"false",6,"true",26,"false","false"
"2025-01-14","a41f22a9-1bab-4495-bc82-949f217439ab",7,"",8,"",9000,"",""
"2025-01-14","e0e084c5-2308-4080-b217-90d5875fa312",6,"true",9,"true",24,"true","false"
"2025-01-15","e0e084c5-2308-4080-b217-90d5875fa312",4,"false",8,"true",20,"true","false"
"2025-01-15","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",7.5,"false",7800,"false","true"
"2025-01-16","e0e084c5-2308-4080-b217-90d5875fa312",3,"false",8.5,"true",23,"true","true"
"2025-01-16","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",8.3,"true",7500,"false","true"
"2025-01-17","e0e084c5-2308-4080-b217-90d5875fa312",5,"false",9,"true",22,"true","false"
"2025-01-17","a41f22a9-1bab-4495-bc82-949f217439ab",7,"true",8,"true",8600,"false","true"
"2025-01-20","e0e084c5-2308-4080-b217-90d5875fa312",6,"false",7.5,"true",52,"false","false"
"2025-01-18","e0e084c5-2308-4080-b217-90d5875fa312",4,"false",7.8,"true",19,"true","false"
"2025-01-18","a41f22a9-1bab-4495-bc82-949f217439ab",8,"true",8.2,"true",14000,"false","true"
"2025-01-19","e0e084c5-2308-4080-b217-90d5875fa312",6,"false",9.8,"true",33,"true","true"
"2025-01-19","a41f22a9-1bab-4495-bc82-949f217439ab",8,"true",8,"true",12000,"true","true"
"2025-01-20","a41f22a9-1bab-4495-bc82-949f217439ab",8,"true",6.5,"true",6000,"true","true"
